Species	Status	MinT	MaxT
Corythosaurus_intermedius	extinct	75	75.8
Corythosaurus_intermedius	extinct	75	75.8
Corythosaurus_intermedius	extinct	75	75.8
Corythosaurus_intermedius	extinct	75	75.8
Corythosaurus_intermedius	extinct	75	75.8
Corythosaurus_intermedius	extinct	75	75.8
Corythosaurus_intermedius	extinct	75	75.8
Corythosaurus_intermedius	extinct	75	75.8
Corythosaurus_intermedius	extinct	75	75.8
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_regalis	extinct	72.1	83.6
Edmontosaurus_regalis	extinct	72.1	83.6
Edmontosaurus_regalis	extinct	72.1	83.6
Edmontosaurus_regalis	extinct	72.1	83.6
Edmontosaurus_regalis	extinct	72.1	83.6
Edmontosaurus_regalis	extinct	72.1	83.6
Edmontosaurus_regalis	extinct	72.1	83.6
Edmontosaurus_regalis	extinct	72.1	83.6
Edmontosaurus_regalis	extinct	72.1	83.6
Edmontosaurus_regalis	extinct	72.1	83.6
Edmontosaurus_regalis	extinct	72.1	83.6
Edmontosaurus_regalis	extinct	72.1	83.6
Eotrachodon_orientalis	extinct	83.6	86.3
Glishades_ericksoni	extinct	74.9	83.5
Gryposaurus_latidens	extinct	74.9	83.5
Gryposaurus_latidens	extinct	74.9	83.5
Gryposaurus_monumentensis	extinct	74.5	76.6
Gryposaurus_monumentensis	extinct	74.5	76.6
Gryposaurus_monumentensis	extinct	74.5	76.6
Gryposaurus_notabilis	extinct	75.8	76.9
Gryposaurus_notabilis	extinct	75.8	76.9
Gryposaurus_notabilis	extinct	75.8	76.9
Gryposaurus_notabilis	extinct	75.8	76.9
Gryposaurus_notabilis	extinct	75.8	76.9
Gryposaurus_notabilis	extinct	75.8	76.9
Gryposaurus_notabilis	extinct	75.8	76.9
Gryposaurus_notabilis	extinct	75.8	76.9
Gryposaurus_notabilis	extinct	75.8	76.9
Gryposaurus_notabilis	extinct	75.8	76.9
Hadrosaurus_foulkii	extinct	78.5	80.5
Hadrosaurus_foulkii	extinct	78.5	80.5
Hadrosaurus_foulkii	extinct	78.5	80.5
Hadrosaurus_foulkii	extinct	78.5	80.5
Hadrosaurus_foulkii	extinct	78.5	80.5
Hadrosaurus_foulkii	extinct	78.5	80.5
Hadrosaurus_foulkii	extinct	78.5	80.5
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Jaxartosaurus_aralensis	extinct	83.6	89.8
Jaxartosaurus_aralensis	extinct	83.6	89.8
Kamuysaurus_japonicus	extinct	68	72.1
Kazaklambia_convincens	extinct	83.6	86.3
Kerberosaurus_manakini	extinct	66	72.1
Kerberosaurus_manakini	extinct	66	72.1
Kerberosaurus_manakini	extinct	66	72.1
Kerberosaurus_manakini	extinct	66	72.1
Kerberosaurus_manakini	extinct	66	72.1
Kritosaurus_navajovius	extinct	71.4	72.5
Kritosaurus_navajovius	extinct	71.4	72.5
Kritosaurus_navajovius	extinct	72	75
Kritosaurus_navajovius	extinct	73.04	75.02
Kritosaurus_navajovius	extinct	73.04	75.02
Kritosaurus_navajovius	extinct	73.04	75.02
Kritosaurus_navajovius	extinct	73.04	75.02
Kundurosaurus_nagornyi	extinct	66	72.1
Kundurosaurus_nagornyi	extinct	66	72.1
Kundurosaurus_nagornyi	extinct	66	72.1
Kundurosaurus_nagornyi	extinct	66	72.1
Kundurosaurus_nagornyi	extinct	66	72.1
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_magnicristatus	extinct	74.8	75.4
Lambeosaurus_magnicristatus	extinct	74.8	75.4
Lapampasaurus_cholinoi	extinct	69	79
Latirhinus_uitstlani	extinct	71.4	72.5
Magnapaulia_laticaudus	extinct	73	74
Magnapaulia_laticaudus	extinct	73	74
Magnapaulia_laticaudus	extinct	73	74
Magnapaulia_laticaudus	extinct	73	74
Magnapaulia_laticaudus	extinct	73	74
Magnapaulia_laticaudus	extinct	73	74
Maiasaura_peeblesorum	extinct	74.9	83.6
Maiasaura_peeblesorum	extinct	74.9	83.6
Maiasaura_peeblesorum	extinct	74.9	83.6
Maiasaura_peeblesorum	extinct	74.9	83.6
Maiasaura_peeblesorum	extinct	74.9	83.6
Maiasaura_peeblesorum	extinct	74.9	83.6
Maiasaura_peeblesorum	extinct	74.9	83.6
Maiasaura_peeblesorum	extinct	74.9	83.6
Maiasaura_peeblesorum	extinct	74.9	83.6
Naashoibitosaurus_ostromi	extinct	73.04	75.02
Nanningosaurus_dashiensis	extinct	66	72.1
Nanningosaurus_dashiensis	extinct	66	72.1
Nipponosaurus_sachalinensis	extinct	72.1	86.3
Olorotitan_arharensis	extinct	66	70
Olorotitan_arharensis	extinct	66	70
Orthomerus_dolloi	extinct	66	72.1
Orthomerus_dolloi	extinct	66	72.1
Orthomerus_dolloi	extinct	66	72.1
Orthomerus_dolloi	extinct	66	72.1
Orthomerus_dolloi	extinct	66	72.1
Orthomerus_dolloi	extinct	66	72.1
Orthomerus_dolloi	extinct	66	72.1
Orthomerus_dolloi	extinct	66	72.1
Pararhabdodon_isonensis	extinct	66.5	67.6
Pararhabdodon_isonensis	extinct	66.5	67.6
Pararhabdodon_isonensis	extinct	66.5	67.6
Pararhabdodon_isonensis	extinct	66.5	67.6
Parasaurolophus_cyrtocristatus	extinct	73.5	75.5
Parasaurolophus_cyrtocristatus	extinct	74.5	76.5
Parasaurolophus_cyrtocristatus	extinct	74.5	76.5
Parasaurolophus_cyrtocristatus	extinct	74.5	76.5
Parasaurolophus_tubicen	extinct	73	74.5
Parasaurolophus_tubicen	extinct	73	74.5
Parasaurolophus_tubicen	extinct	73	74.5
Parasaurolophus_tubicen	extinct	73	74.5
Parasaurolophus_tubicen	extinct	73	74.5
Parasaurolophus_tubicen	extinct	73	74.5
Parasaurolophus_tubicen	extinct	73	74.5
Parasaurolophus_tubicen	extinct	73	74.5
Parasaurolophus_tubicen	extinct	73	74.5
Parasaurolophus_tubicen	extinct	73	74.5
Parasaurolophus_walkeri	extinct	75.8	76.9
Parasaurolophus_walkeri	extinct	75.8	76.9
Parasaurolophus_walkeri	extinct	75.8	76.9
Parasaurolophus_walkeri	extinct	75.8	76.9
Probrachylophosaurus _bergei	extinct	74.9	79
Probrachylophosaurus _bergei	extinct	74.9	79
Prosaurolophus_maximus	extinct	75.8	76.9
Prosaurolophus_maximus	extinct	75.8	76.9
Prosaurolophus_maximus	extinct	75.8	76.9
Prosaurolophus_maximus	extinct	75.8	76.9
Prosaurolophus_maximus	extinct	75.8	76.9
Prosaurolophus_maximus	extinct	75.8	76.9
Prosaurolophus_maximus	extinct	75.8	76.9
Prosaurolophus_maximus	extinct	75.8	76.9
Prosaurolophus_maximus	extinct	75.8	76.9
Prosaurolophus_maximus	extinct	74.9	83.5
Prosaurolophus_maximus	extinct	74.9	83.5
Prosaurolophus_maximus	extinct	74.9	83.5
Sahaliyania_elunchunorum	extinct	66	72.1
Sahaliyania_elunchunorum	extinct	66	72.1
Sahaliyania_elunchunorum	extinct	66	72.1
Saurolophus_angustirostris	extinct	69	72.1
Saurolophus_angustirostris	extinct	69	72.1
Saurolophus_angustirostris	extinct	69	72.1
Saurolophus_angustirostris	extinct	69	72.1
Saurolophus_angustirostris	extinct	69	72.1
Saurolophus_angustirostris	extinct	69	72.1
Saurolophus_angustirostris	extinct	69	72.1
Saurolophus_angustirostris	extinct	69	72.1
Saurolophus_angustirostris	extinct	69	72.1
Saurolophus_angustirostris	extinct	69	72.1
Saurolophus_angustirostris	extinct	69	72.1
Saurolophus_angustirostris	extinct	69	72.1
Saurolophus_angustirostris	extinct	69	72.1
Saurolophus_angustirostris	extinct	69	72.1
Saurolophus_angustirostris	extinct	69	72.1
Saurolophus_angustirostris	extinct	69	72.1
Saurolophus_angustirostris	extinct	69	72.1
Saurolophus_osborni	extinct	68	74
Saurolophus_osborni	extinct	68	74
Saurolophus_osborni	extinct	68	74
Saurolophus_osborni	extinct	68	74
Secernosaurus_koerneri	extinct	70	83.6
Secernosaurus_koerneri	extinct	70	83.6
Secernosaurus_koerneri	extinct	70	83.6
Secernosaurus_koerneri	extinct	70	83.6
Secernosaurus_koerneri	extinct	70	83.6
Shantungosaurus_giganteus	extinct	72.1	83.6
Shantungosaurus_giganteus	extinct	72.1	83.6
Shantungosaurus_giganteus	extinct	72.1	83.6
Shantungosaurus_giganteus	extinct	72.1	83.6
Shantungosaurus_giganteus	extinct	72.1	83.6
Shantungosaurus_giganteus	extinct	72.1	83.6
Tanius_laiyangensis	extinct	72.1	83.6
Tsintaosaurus_spinorhinus	extinct	72.1	83.6
Tsintaosaurus_spinorhinus	extinct	72.1	83.6
Tsintaosaurus_spinorhinus	extinct	72.1	83.6
Tsintaosaurus_spinorhinus	extinct	72.1	83.6
Tsintaosaurus_spinorhinus	extinct	72.1	83.6
Tsintaosaurus_spinorhinus	extinct	72.1	83.6
Tsintaosaurus_spinorhinus	extinct	72.1	83.6
Tsintaosaurus_spinorhinus	extinct	72.1	83.6
Tsintaosaurus_spinorhinus	extinct	72.1	83.6
Ugrunaaluk_kuukpikensis	extinct	69.1	70.6
Ugrunaaluk_kuukpikensis	extinct	69.1	70.6
Ugrunaaluk_kuukpikensis	extinct	69.1	70.6
Ugrunaaluk_kuukpikensis	extinct	69.1	70.6
Ugrunaaluk_kuukpikensis	extinct	69.1	70.6
Ugrunaaluk_kuukpikensis	extinct	69.1	70.6
Ugrunaaluk_kuukpikensis	extinct	69.1	70.6
Ugrunaaluk_kuukpikensis	extinct	69.1	70.6
Ugrunaaluk_kuukpikensis	extinct	69.1	70.6
Velafrons_coahuilensis	extinct	71.4	72.5
Wulagasaurus_dongi	extinct	66	72.1
Wulagasaurus_dongi	extinct	66	72.1
Wulagasaurus_dongi	extinct	66	72.1
Zhanghenglong_yangchengensis	extinct	83.6	86.3
Zhanghenglong_yangchengensis	extinct	83.6	86.3

